legal_name,lei,uid_ch,domicile_country,hq_city,hq_region,geneva_link,source_key,retrieved_at
McKesson Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Medacta Group SA,506700P2PFU3A3DROC14,CHE303576887,CH,Castel San Pietro,CH-TI,none,gleif,2026-07-19T02:41:25Z
Medartis Holding AG,506700VUSP6HG3F28846,CHE108689049,CH,Basel,CH-BS,none,gleif,2026-07-19T02:41:25Z
Medibank,,,,,,,index_universe,2026-07-07T20:39:42Z
Medtronic,,,,,,,index_universe,2026-07-07T20:39:30Z
Meier Tobler Group AG,529900M6NVNCK1HZCC03,CHE102374647,CH,Schwerzenbach,CH-ZH,none,gleif,2026-07-19T02:41:20Z
"Meiji Holdings Company, Limited",,,,,,,index_universe,2026-07-07T20:39:39Z
Meituan,,,,,,,index_universe,2026-07-07T20:39:40Z
Melrose Industries,,,,,,,index_universe,2026-07-07T20:39:37Z
Mengniu Dairy,,,,,,,index_universe,2026-07-07T20:39:40Z
Mercari Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
Mercedes-Benz Group,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
Merck,,,,,,,index_universe,2026-07-07T20:39:34Z
Merck & Co.,,,,,,,index_universe,2026-07-07T20:39:30Z
MetLife,,,,,,,index_universe,2026-07-07T20:39:30Z
Meta Platforms,,,,,,,index_universe,2026-07-07T20:39:30Z
Metall Zug AG,529900X7CXUI05DN7K64,CHE101865948,CH,Zug,CH-ZG,none,gleif,2026-07-19T02:41:17Z
Metlen Energy & Metals,,,,,,,index_universe,2026-07-07T20:39:37Z
Metro Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
Mettler Toledo,,,,,,,index_universe,2026-07-07T20:39:30Z
Michelin,,,,,,,index_universe,2026-07-07T20:39:36Z
Microchip Technology,,,,,,,index_universe,2026-07-07T20:39:30Z
Micron Technology,,,,,,,index_universe,2026-07-07T20:39:30Z
Microsoft,,,,,,,index_universe,2026-07-07T20:39:30Z
Mid-America Apartment Communities,,,,,,,index_universe,2026-07-07T20:39:30Z
Midea Group,,,,,,,index_universe,2026-07-07T20:39:40Z
Mikron Holding AG,529900I5GINTJ7V7UW36,CHE103931740,CH,Boudry,CH-NE,none,gleif,2026-07-19T02:41:06Z
MindMaze Therapeutics Holding SA,506700IT19260EVD7916,CHE113516874,CH,Genève,CH-GE,domicile,gleif,2026-07-19T02:41:29Z
"MinebeaMitsumi, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Mitsubishi Chemical Holdings Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Mitsubishi Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Mitsubishi Electric Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsubishi Estate Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsubishi Heavy Industries, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Mitsubishi Materials Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Mitsubishi Motors Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsubishi UFJ Financial Group, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsui & Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsui Chemicals, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsui Fudosan Co., Ltd",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsui Mining & Smelting Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mitsui O.S.K. Lines, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Mizuho Financial Group, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Mobimo Holding AG,50670018HN8O1GD3O385,CHE101185173,CH,Luzern 7,CH-LU,none,gleif,2026-07-19T02:41:09Z
Moderna,,,,,,,index_universe,2026-07-07T20:39:30Z
Molecular Partners AG,875500AXMLDAZ4D21744,CHE-112.115.136,CH,Schlieren,CH-ZH,none,gleif,2026-07-19T02:41:23Z
Molson Coors Beverage Company,,,,,,,index_universe,2026-07-07T20:39:30Z
Mondelez International,,,,,,,index_universe,2026-07-07T20:39:30Z
Monolithic Power Systems,,,,,,,index_universe,2026-07-07T20:39:30Z
Monster Beverage,,,,,,,index_universe,2026-07-07T20:39:30Z
Montana Aerospace AG,506700YRG9330Q97U450,CHE248340671,CH,Reinach AG,CH-AG,none,gleif,2026-07-19T02:41:28Z
Moody's Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Morgan Stanley,,,US,,,,index_universe,2026-07-07T20:39:30Z
Mosaic Company (The),,,,,,,index_universe,2026-07-07T20:39:30Z
Motorola Solutions,,,,,,,index_universe,2026-07-07T20:39:30Z
"Muji Co., Ltd",,,,,,,index_universe,2026-07-07T20:39:39Z
Munich Re,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
"Murata Manufacturing Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
NEC Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
NESTLÉ S.A.,KY37LUS27QQX7BB93L28,CHE-105.909.036,CH,VEVEY,CH-VD,none,gleif,2026-07-19T02:41:17Z
"NGK Insulators, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
NH Foods Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
NOVARTIS AG,5493007HIVTX6SY6XD66,CHE-103.867.266,CH,Basel,CH-BS,none,gleif,2026-07-19T02:41:10Z
NRG Energy,,,,,,,index_universe,2026-07-07T20:39:30Z
NSK Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
NTN Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"NVR, Inc.",,,,,,,index_universe,2026-07-07T20:39:30Z
NXP Semiconductors,,,,,,,index_universe,2026-07-07T20:39:30Z
"Nasdaq, Inc.",,,,,,,index_universe,2026-07-07T20:39:30Z
